"ID","FOOD_NAME","FOOD_IMG","FOOD_TYPE1","FOOD_TYPE2","FOOD_DETAIL","FOOD_PRICE"
1,"햄)트리플불고기치즈버거","4a7d5c30-8dfb-4f17-bb26-b19d2e4cdddf.jpg","간편식사","간편식사,햄버거","풍성한 3단 구성 햄버거 (패티 3장 &amp; 체다치즈 2장)",2700
2,"샐)닭가슴살샐러드170","c3b84341-0d4d-45dc-8e14-36fa89329e23.jpg","간편식사","샐러드,도시락,간편식사","건강 다이어트에 제격! 스테디 셀러 닭가슴살 샐러드 -훈제 닭가슴살과 오리엔탈소스를 메인토핑으로한 신선한 야채 샐러드",3500
3,"햄)A1스테이크치즈버거","805394e5-cf56-4d11-a17a-ee113ff6e3d8.jpg","간편식사","햄버거,간편식사","부드러운 브리오쉬번 사이에, A1 소스가 두번! 두꺼운 A1스테이크 패티를 넣고, 로스트 버섯,양파로 만든 샐러드를 가득 넣어 식감과 스테이크 본연의 진한 맛을 올린 뒤 슬라이스 치즈를 토핑 하여 완성도를 UP한 프리미엄 A1스테이크 버거!",2800
4,"김)크랩가득유부초밥","4481da32-40e9-4204-92e0-919738b633f1.jpg","간편식사","유부초밥,김밥,간편식사","PLA 생분해성 용기를 사용한 크랩유부초밥",3700
5,"김)참치가득유부초밥","006fe24e-4ace-4ebf-81b2-4798845e134f.jpg","간편식사","유부초밥,김밥,간편식사","PLA 생분해성 용기를 사용한 참치유부초밥",3700
6,"햄)콰트로타워버거","5ab02def-4a56-46fe-8676-8216853775b5.jpg","간편식사","햄버거,간편식사","고소한 4.5인치 햄버거 번에 풍미 가득한 불고기패티, 해시브라운과 체다치즈, 담백한 에그후라이와 달짝지근한 데리야끼소스, 양배추, 오이피클, 스위트콘, 마요네즈, 어니언크림소스로 만든 콘슬로우 샐러드로 완성한 가성비 든든한 햄버거",2700
7,"주)백종원2XL치즈제육","b19d57f1-fb96-46fe-b43b-9205e7562551.jpg","간편식사","삼각김밥,간편식사","매콤한 제육볶음에 고소한 치즈를 뿌린 백종원이 제안하는 새로운 맛!",1500
8,"도)백종원완전한판정식","a5304a37-53c9-4881-9803-5004cff4deba.jpg","간편식사","도시락,간편식사","빽햄과 계란말이, 간장불고기를 넣어 가치감을 높인 도시락",4500
9,"햄)치치버거","e55369f6-d8e7-4770-be88-4d3b2d76f029.jpg","간편식사","햄버거,간편식사","부드러운 브리오슈번에 치킨패티와 치즈, 아삭한 양상추를 더한 고단백질 버거(단백질 일일 영양성분 기준치 대비 30%이상 함유)",3000
10,"햄)빅모짜직화불고기버거","762a5a8b-2ef8-4ce8-b923-b0d957d5d47d.jpg","간편식사","햄버거,간편식사","4.5인치 BIG 참깨번에 직화에서 구운 불향 가득한 불고기를 얹고 모짜 크림 치즈 소스를 더해 맛에 풍미를 살린 한끼 식사 대용 버거",3500
11,"햄)빅페퍼직화불고기버거","5cbac72f-7977-4f21-97a2-ca6781774039.jpg","간편식사","햄버거,간편식사","4.5인치 BIG 참깨번에 직화에서 구운 불향 가득한 불고기를 얹고 피클과 크림 페퍼 소스로 맛에 감칠맛을 더한 한끼 식사 대용 버거(일부지역 미운영)",3500
12,"김)백종원더블까스","e74e61b4-734b-4d22-b302-01d8dd69f03c.jpg","간편식사","김밥,줄김밥,간편식사","백종원 레시피의 돈까스와 치킨까스 두가지 를 한번에 맛볼 수 있는 김밥",3200
13,"햄)치즈시즈닝통치킨버거","6adfd45a-a89d-426a-b0f6-42d558931b41.jpg","간편식사","햄버거,간편식사","매콤한 치즈시즈닝과 진한 치즈소스가 어우러진 100% 통닭다리살 치킨버거",4000
14,"샌)에그샐러드토스트","4e008966-2621-44ad-babb-a5c8d0955805.jpg","간편식사","샌드위치,간편식사","황금빛 계란물의 풍부한 맛을 담은 프렌치 토스트빵에 부드러운 에그샐러드와 햄의 조화로 풍미를 더한 골드리치 토스트",3500
15,"주)3XL청양참치김치볶음","cd549f9a-bf24-4e0e-914c-c58b116b9570.png","간편식사","삼각김밥,간편식사","매콤한 청양참치마요와 고소한 김치볶음밥이 조화된 삼각김밥",1600
16,"샌)이건가요샌드위치","e5c7752d-ef6e-4820-9b1e-4f4d79b3e8e2.jpg","간편식사","샌드위치,간편식사","딸기잼, 계란, 감자샐러드로 포만감 듬뿍 이건가요샌드위치",2700
17,"샌)점보3단햄감자맛살","2896dfb5-6add-41fe-9b07-4f951be3f23a.png","간편식사","샌드위치,간편식사","햄감자와 샐러드가 푸짐하게 토핑된 3단 샌드",2800
18,"샌)점보3단햄참치","a72d7736-a922-4d56-99ca-d7144da998a8.png","간편식사","샌드위치,간편식사","햄샐러드와 참치샐러드가 푸짐하게 토핑된 3단 샌드",2800
19,"샐)시저샐러드","0cfbbcba-46d3-41bc-a57f-0a4f5a1a1026.jpg","간편식사","샐러드,간편식사","닭가슴살슬라이스, 토마토에 시저소스를 곁들여 먹는 식사용 샐러드",6600
20,"샌)BELT샌드","64e4ef34-b67b-4f9a-bcc8-3f535b413dac.jpg","간편식사","샌드위치,간편식사","신선한 양상추와 토마토를 듬뿍! 부드러운 계란과 베이컨 토핑을 넣어 풍성한 맛을 더한 프레쉬한 샌드위치",2800
21,"샌)크래프트치즈딸기샌드","b9ac9bca-f1d0-4967-84d3-9c992c94d85f.jpg","간편식사","샌드위치,간편식사","글로벌기업 KRAFT社 콜라보 화이트 식빵 사이에 프리미엄 크래프트 크림치즈 바른 뒤 슬라이스 햄, 슬라이스 치즈를 토핑. 과육이 씹히는 고급 딸기잼이 조화되는 3단 콜라보 샌드위치. 은은한 치즈풍미와 연유크림의 달콤함에 과육이 씹히는 고급 딸기잼이 가득+ 햄,치즈 까지 푸짐하게.",2800
22,"샌)에그슬라이스샌드","3d23de46-7cf2-4833-b7f7-da1f09df1dc4.jpg","간편식사","샌드위치,간편식사","부드럽고 고소한 크래프트 크림치즈와 영양 가득 고소한 에그슬라이스를 넣고 햄과 체다치즈, 홀그레인 머스타드로 완성한 샌드위치",2800
